text,category
Wi-Fi is not working in my classroom,Internet / Wi-Fi
The college internet is not working,Internet / Wi-Fi
I cannot connect to campus Wi-Fi,Internet / Wi-Fi
Campus Wi-Fi keeps disconnecting,Internet / Wi-Fi
The internet connection is very slow,Internet / Wi-Fi
Wi-Fi signal is weak in Block A,Internet / Wi-Fi
Unable to access the college network,Internet / Wi-Fi
Internet is unavailable in the computer lab,Internet / Wi-Fi
The network connection drops frequently,Internet / Wi-Fi
College Wi-Fi password is not working,Internet / Wi-Fi
The classroom projector is not working,Infrastructure
Broken benches are present in the classroom,Infrastructure
The classroom door is damaged,Infrastructure
There is water leakage in the classroom,Infrastructure
The classroom ceiling needs repair,Infrastructure
The classroom window is broken,Infrastructure
The staircase railing is damaged,Infrastructure
The college building has damaged walls,Infrastructure
The laboratory furniture is damaged,Infrastructure
The classroom projector screen is damaged,Infrastructure
The classroom fan is not working,Electrical
Lights are not working in the laboratory,Electrical
There is a power problem in my classroom,Electrical
Power supply is frequently interrupted,Electrical
Electrical switch is damaged,Electrical
The classroom tube light is not working,Electrical
Several lights in the corridor are not working,Electrical
The laboratory power socket is damaged,Electrical
There is an electrical fault in the classroom,Electrical
Power keeps going off in the building,Electrical
My exam hall ticket is not available,Examination
I cannot download my examination hall ticket,Examination
There is an error in my exam registration,Examination
My examination marks are incorrect,Examination
The exam timetable has not been updated,Examination
I have a problem with my examination application,Examination
My exam seat number is missing,Examination
I cannot see my examination schedule,Examination
There is an issue with my exam results,Examination
My internal examination marks are wrong,Examination
I have an attendance issue,Academic
My attendance has been entered incorrectly,Academic
Faculty has not uploaded internal marks,Academic
I cannot access my course materials,Academic
I have a problem with subject registration,Academic
I need clarification about my academic schedule,Academic
My timetable has an academic error,Academic
The faculty has not updated the assignment marks,Academic
I cannot register for my subject,Academic
I have a problem with my class timetable,Academic
The library book I need is missing,Library
The library computer is not working,Library
I cannot renew my library book,Library
The library is closed during college hours,Library
My library account is not working,Library
I cannot find a required book in the library,Library
The library printer is not working,Library
I have an issue returning a library book,Library
The library computer has no internet,Library
I cannot access the digital library,Library
Hostel room water supply is not working,Hostel
There is a problem with my hostel room,Hostel
The hostel fan is not working,Hostel
The hostel bathroom needs maintenance,Hostel
My hostel room light is not working,Hostel
There is water leakage in the hostel,Hostel
The hostel room door is damaged,Hostel
Hostel drinking water is unavailable,Hostel
My hostel room needs electrical repair,Hostel
There is a maintenance issue in my hostel,Hostel
Food quality in the canteen is poor,Canteen
The canteen drinking water is not available,Canteen
There is a long queue in the college canteen,Canteen
The canteen seating area is dirty,Canteen
Canteen food is served late,Canteen
The food in the canteen is not fresh,Canteen
The canteen is overcrowded during lunch,Canteen
There are not enough seats in the canteen,Canteen
The canteen menu is not available,Canteen
I have a complaint about canteen food,Canteen
